"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24800,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",27,"Guiglo",90,"Toulepleu","","","Sous-préfecture","Sub-prefecture"
24801,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",28,"Abengourou",91,"Abengourou","","","Sous-préfecture","Sub-prefecture"
24802,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",28,"Abengourou",92,"Bettie","","","Sous-préfecture","Sub-prefecture"
24803,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",28,"Abengourou",93,"Niable","","","Sous-préfecture","Sub-prefecture"
24804,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",29,"Agnibilékrou",94,"Agnibilekro","","","Sous-préfecture","Sub-prefecture"
24805,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",30,"Bongouanou",95,"Arrah","","","Sous-préfecture","Sub-prefecture"
24806,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",30,"Bongouanou",96,"Bongouanou","","","Sous-préfecture","Sub-prefecture"
24807,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",30,"Bongouanou",97,"M'batto","","","Sous-préfecture","Sub-prefecture"
24808,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",30,"Bongouanou",98,"Tiemelekro","","","Sous-préfecture","Sub-prefecture"
24809,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",31,"Daoukro",99,"Daoukro","","","Sous-préfecture","Sub-prefecture"
24810,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",31,"Daoukro",100,"Ettrokro","","","Sous-préfecture","Sub-prefecture"
24811,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",31,"Daoukro",101,"Ouelle","","","Sous-préfecture","Sub-prefecture"
24812,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",32,"Dimbokro",102,"Bocanda","","","Sous-préfecture","Sub-prefecture"
24813,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",32,"Dimbokro",103,"Dimbokro","","","Sous-préfecture","Sub-prefecture"
24814,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",32,"Dimbokro",104,"Kouassikro","","","Sous-préfecture","Sub-prefecture"
24815,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",33,"Mbahiakro",105,"M'bahiakro","","","Sous-préfecture","Sub-prefecture"
24816,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",33,"Mbahiakro",106,"Prikro","","","Sous-préfecture","Sub-prefecture"
24817,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali",107,"Boundiali","","","Sous-préfecture","Sub-prefecture"
24818,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali",108,"Gbon","","","Sous-préfecture","Sub-prefecture"
24819,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali",109,"Kassere","","","Sous-préfecture","Sub-prefecture"
24820,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali",110,"Kolia","","","Sous-préfecture","Sub-prefecture"
24821,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali",111,"Kouto","","","Sous-préfecture","Sub-prefecture"
24822,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",112,"Diawala","","","Sous-préfecture","Sub-prefecture"
24823,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",113,"Ferkessedougou","","","Sous-préfecture","Sub-prefecture"
24824,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",114,"Kong","","","Sous-préfecture","Sub-prefecture"
24825,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",115,"Koumbala","","","Sous-préfecture","Sub-prefecture"
24826,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",116,"Nielle","","","Sous-préfecture","Sub-prefecture"
24827,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou",117,"Ouangolodougou","","","Sous-préfecture","Sub-prefecture"
24828,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",118,"Dikodougou","","","Sous-préfecture","Sub-prefecture"
24829,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",119,"Guiembe","","","Sous-préfecture","Sub-prefecture"
24830,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",120,"Karakoro","","","Sous-préfecture","Sub-prefecture"
24831,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",121,"Komborodougou","","","Sous-préfecture","Sub-prefecture"
24832,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",122,"Korhogo","","","Sous-préfecture","Sub-prefecture"
24833,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo",123,"M'bengue","","","Sous-préfecture","Sub-prefecture"
